Date,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Bulgaria,Cambodia,Canada,Cape Verde,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,European Union,Eurozone,Fiji,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Tanzania,Thailand,Trinidad & Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Zambia,Zimbabwe
12/31/1982,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1983,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1984,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1985,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1986,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1987,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1988,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1989,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1990,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1991,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
12/31/1992,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,AAA,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,AAA,#N/A Invalid Security,AA,BBB,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAAu,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,AAA,AAA,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A+,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,AA-,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A N/A,AAA,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A N/A,#N/A Invalid Security,#N/A N/A,AAA,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Invalid Security,#N/A Invalid Security
